Company Name,Founded,Industry,Job Description,Job Function,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
Johns Hopkins Applied Physics Laboratory (APL),1942,Aerospace & Defense,"Are you passionate about using data visualizations for understanding and solving complex and interesting problems?Have you worked with cutting-edge visualization frameworks to make data science/analytics findings relevant for technical and non-technical users?Do you value working in a creative and collaborative environment?If so, we are looking for someone like you to join our team!The Large-Scale Analytics Group (QAS) develops end-to-end systems that incorporate descriptive, predictive, and prescriptive analytics on different platforms. We utilize visual analytics to find information hidden deep within large and complex data sets. In QAS, we use visualizations to: Represent data and help our U.S. government partners easily understand their data.
Uncover trends, changes, patterns, and anomalies in voluminous data sets.
Embed in reports and presentations that are used to clearly communicate our data stories and analytic results.
We are seeking data scientists who can apply data visualization standards, research new data visualization approaches, and employ various data visualization technologies and techniques. Your contributions to our team of data scientists, engineers, mathematicians, and computer scientists will help transform data into the knowledge that will enable decision-makers to make informed choices in defense of the nation. You will join a hardworking team in an inclusive environment that values intellectual curiosity, innovation and creativity.As a Data Visualization Scientist you will...


Why work at APL?The Johns Hopkins University Applied Physics Laboratory (APL) brings world-class expertise to our nation's most critical defense, security, space and science challenges. While we are dedicated to solving complex challenges and pioneering new technologies, what makes us truly outstanding is our culture. We offer a vibrant, welcoming atmosphere where you can bring your authentic self to work, continue to grow, and build strong connections with inspiring teammates.At APL, we celebrate our differences and encourage creativity and bold, new ideas. Our employees enjoy generous benefits, including a robust education assistance program, unparalleled retirement contributions, and a healthy work/life balance. APL's campus is located in the Baltimore-Washington metro area. Learn more about our career opportunities at www.jhuapl.edu/careers.",Data Modeler,Data Visualization Scientist,"Laurel, MD",4.7,$1 to $2 billion (USD),$79K - $136K (Glassdoor est.),Aerospace & Defense,5001 to 10000 Employees,Nonprofit Organization
"Meso Scale Diagnostics, LLC",-1,Biotech & Pharmaceuticals,"POSITION SUMMARY:
Provide guidance, leadership and direction to project progress for product development initiatives. This may include initiatives for the development of assays, reagents and/or instruments utilized in various disciplines within the clinical or life science research fields. Independently designing and executing experiments, analyzing and documenting resulting data and presenting findings in a clear and concise manner will be among the principle responsibilities this position is accountable for. This position will directly supervise the work of others in their group and/or across interdisciplinary teams.
DUTIES AND RESPONSIBILITIES:
Bench Research/Hands-on laboratory work",Research Scientist,Scientist II,"Gaithersburg, MD",3.3,$100 to $500 million (USD),$63K - $136K (Glassdoor est.),Biotech & Pharmaceuticals,201 to 500 Employees,Company - Private
Matica Biotechnology,-1,-1,"DESCRIPTION
The scientist I will be responsible for analytical method development and transfer under general supervision.
JOB DESCRIPTION
The key responsibilities of this role will be to help develop, transfer, optimize and qualify/validate test methods for client projects. The Scientist I will be required to have practical experience with one or more analytical methods, preferably in a cGMP environment. These assays include, but are not limited to, cell-based assays (potency, activity), viral titration methods (plaque assay, TCID50), ddPCR, qPCR, HPLC, ELISA, FACS. This role will also be responsible for maintaining mammalian tissue cultures.",Formulation Scientist,"Scientist I, Analytical Development","College Station, TX",-1,-1,-1,-1,-1,-1
Freeport McMoRan,-1,Mining,"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",Data Scientist,Data Scientist I,"Phoenix, AZ",4.0,$10+ billion (USD),$83K - $136K (Glassdoor est.),Mining & Metals,10000+ Employees,Company - Public
ManTech International Corporation,1968,Research & Development,"Secure our Nation, Ignite your Future
Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement. ManTech is seeking a motivated, career and customer-oriented data science and machine learning professionals to join our dynamic modeling team in Portsmouth, VA.
The Navy and Marine Corps Public Health Center (NMCPHC) is the Navy and Marine Corps center for public health (PH) services to maximize readiness through force health protection (FHP) strategies and solutions for current and potential PH threats. NMCPHC provides leadership and expertise to ensure mission readiness in support of the National Military Strategy.
NMCPHC’s core scientific and technical capabilities and product lines are to conduct Health Surveillance, Epidemiology, and Analysis; Disease and Injury Prevention; and PH Consultation and Support for the benefit of active-duty service members, retirees, and their families. This is carried out at the NMCPHC and its supported Medical/Military Treatment Facilities (MTFs), shore-based installations, and its Operational Medical Assets and field activities.",Data Scientist,Lead Data Scientist,"Portsmouth, VA",4.2,$1 to $2 billion (USD),$78K - $126K (Glassdoor est.),Business Services,5001 to 10000 Employees,Company - Public
ManTech International Corporation,,,"Secure our Nation, Ignite your Future
Overview
Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of solutions to promote efficient trade and travel. Further, effective solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
As a Data Scientist on our team, a proven track record of delivering production ready decision support tools and applications employed in the field and by mission-support entities. Further, highly competitive applicants will have a demonstrated capacity to: work closely and collaboratively with mission stakeholders; respond to emergent, mission-driven changes in priorities and expected outcomes; and, apply new and emerging tools and techniques.",Data Scientist,Data Scientist,"Alexandria, VA",4.2,$1 to $2 billion (USD),$64K - $106K (Glassdoor est.),,5001 to 10000 Employees,Company - Public
MetroNet,2005,"Cable, Internet & Telephone Providers","Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.",Data Analyst,Data Analyst,"Evansville, IN",4.5,Unknown / Non-Applicable,$33K - $57K (Glassdoor est.),Telecommunications,1001 to 5000 Employees,Company - Private
Lucid Motors,,,"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking an experienced Big Data Engineer to help building up our large-scale data management system for the ADAS / Autonomous Driving team. This field allows contributions on various levels around the data pipeline and data processing, data annotation, machine learning, data ingestion, data pre-processing, integration of Deep Neural Network frameworks, efficient data search and high performance data manipulation.
You Will:",Data Engineer,,"Newark, CA",3.9,,$99K - $178K (Glassdoor est.),Manufacturing,1001 to 5000 Employees,Company - Private
Boston IVF,1986,Research & Development,"Human IVF and infertility lab has a data analyst position open for an individual with strong analytical and technical skills.
This position will work with researchers, physicians, embryologists, and other staff in our Waltham location. No infertility experience is required and the individual will be trained on all aspects of human IVF. The successful candidate will be detail-oriented, proficient in Microsoft Office (Excel, Word) and have experience working with relational databases.
Requirements include but are not limited to:
Must be proficient in Microsoft Office – this includes but is not limited to Word, Excel, PowerPoint
Experience working with charts and Pivot Tables",Data Analyst,Data Analyst,"Waltham, MA",2.9,$25 to $50 million (USD),-1,Business Services,201 to 500 Employees,Company - Private
Comcast,1963,Telecommunications Services,"Job Summary Responsible for defining business intelligence requirements for individual subject areas; develops conceptual data models, design, build and test sets of reporting and analytic business intelligence programs. Works cross-functionally to collect data and makes actionable recommendations at all levels. Infers trends from a variety of data sources and confidently delivers their interpretation; makes recommendations to executives. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as resource for colleagues with less experience.
Job Description
Core Responsibilities
Performs all business intelligence analysis and data exploitation. Extracts signals and signatures from raw data, integrates that information with other data sources and compiles/disseminates formatted reports to customers.
Recommends improvements to competitive business intelligence reports and interpretation of data by sales, business development, product and executive committees.
Plans and executes system testing. Requires knowledge of the customer's mission and technology used to accomplish a given task.
Leads the analysis and reconciliation of data and reporting projects and initiatives delivery.
Develops, maintains and reports all relevant product, site and customer metrics and applies findings to develop appropriate goals and projections.
Trains others throughout the organization in using key analytical and forecasting tools and statistical analysis.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned.


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.
Education
Bachelor's Degree
Relevant Work Experience
5-7 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Data Analyst,Senior Data Analyst - Credit Risk Mgmt,"Philadelphia, PA",3.9,$10+ billion (USD),$58K - $102K (Glassdoor est.),Telecommunications,10000+ Employees,Company - Public
Brighthouse Financial,2017,Insurance Carriers,"Req Id: 3028
Job location: Charlotte, NC, US, 28277

Brighthouse Financial is on a mission to help people achieve financial security. As one of the largest providers of annuities and life insurance in the U.S., we specialize in products designed to help people protect what they've earned and ensure it lasts. We are built on a foundation of experience and knowledge, which allows us to keep our promises and provide the value they deserve.

At Brighthouse Financial, we're fostering a culture where diverse backgrounds and experiences are celebrated, and different ideas are heard and respected. We believe that by creating an inclusive workplace, we're better able to attract and retain our talent, provide valuable solutions that meet the needs of our advisors and their clients, and deliver on our mission of helping more people achieve financial security. We're seeking passionate, high-performing team member to join us. Sound like you? Read on.

To protect the health and safety of our employees, our offices are closed until at least May 2021. When our offices reopen, the individual hired for this role will be based in our Charlotte, North Carolina office or can continue to work remotely.


The Operations Compensation Data Analyst will assist in the execution of data compilation, reporting and analysis for Operations to monitor third party commissions transactions and address operational escalations. The role has a primary function in analyzing policy transactions and commission activities and generating and maintaining reporting requirements for senior leadership to verify the accuracy and completeness of data. The Operations Analyst also supports BHF Operations by reviewing and acting on escalations and service issues from Third Party Administrators (TPAs) in charge of sales compensation.











0-10%



1",Data Analyst,Operations Data Analyst - Advisor Commissions (Remote),"Charlotte, NC",3.9,Unknown / Non-Applicable,$37K - $65K (Glassdoor est.),Insurance,1001 to 5000 Employees,Company - Public
GEICO,1936,Insurance Carriers,"Working out of our Chevy Chase, MD/Washington DC office, GEICO's Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.
As a Principal Data Scientist, you will work with a talented and diverse team of data scientists with responsibility to:
Coordinate project teams of data scientists and supporting roles, acting as the primary point of contact in delivering end-to-end innovative, high-quality data solutions with measurable business value",Data Scientist,Principal Data Scientist,"Chevy Chase, MD",3.5,$10+ billion (USD),$104K - $170K (Glassdoor est.),Insurance,10000+ Employees,Subsidiary or Business Segment
Investigo Life Sciences,2003,Staffing & Outsourcing,"COMPANY:
Established global biopharmaceutical company focused on Neurology and Immunology with 7500+ employees worldwide.
LOCATION:
Greater Boston, MA area
TITLE:
Research Scientist, AAV Analytical Development - Full-time, permanent
ROLE RESPONSIBILITIES:",Research Scientist,"Research Scientist, AAV Analytical Development","Boston, MA",4.3,$100 to $500 million (USD),-1,Business Services,201 to 500 Employees,Company - Private
Comcast,1963,Telecommunications Services,"Job Summary At Comcast we see our workforce as one of our key assets. We understand the value of the data we have in creating an exceptional employee experience and to enable our Teammates to drive our business Goals. We are looking for the best and brightest Workday Human Capital Management (HCM) Prism Data Modeler and Reporting expert to drive the architecture and modeling of Comcast’s Prism data platform.
Job Description
Core Responsibilities
Support the build of Workday/Prism including identifying data sets and mapping while tying legacy data to the Workday data.
Define and implement a set of operational practices including workflow management and reporting intake, reporting incident management, standard operating procedures, etc.
Taking global business requirements and identifying strategies, risks, and options when reporting gaps are identified. Translating requirements into simplified and organized data structures then building those reporting solutions using Workday Platforms.
Ensures platform integrity and cutover readiness during technical deployments by performing technical cutover planning timing for Reporting and analytics areas of the Workday/HR Technology Platform.
Identify, analyze, and interpret trends or patterns for large data sets while having the ability to understand business needs and use data to tell a story
Demonstrated background and a passion for using data and large data sets as a key strategic aspect while ensuring that these platforms are structurally well-built to enable exceptional operational efficiency.
Provide a thorough review of technical solutions for HR Data and Analytics, as key point of contact.
Preserve the integrity of the HR Data and Data Platforms by ensuring cohesive and cross functional impacts(upstream and downstream) are considered and mitigated for reporting and the Prism analytics platform.
Manages training initiatives to introduce new applications or new features in existing applications for Prism and Reporting area of the Workday Platform.
Manage the relationship with business stakeholders to identify product and technical requirements for the Workday, Prism and HR Analytics platforms translating business needs into efficient reports and data sets that conform to best practices
Exemplifies the standards of leadership, business standards, policy, and the company’s future vision in the HR Technology space.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) as necessary.
Other duties and responsibilities as assigned


1+ years professional experience using Workday reporting technology including Report Writer with Prism experience preferred
10+ years of experience in data and analytics platforms, working with large data sets, with some demonstrable experience acting as a data modeler/data architect
5+ years professional experience implementing reporting solutions on Enterprise Scale platforms such as SAP/SuccessFactors/LMS/Oracle
Strong understanding of Workday HCM and Workday security
Strong SQL experience
Business Intelligence and Reporting Tools (BIRT)
Prism Analytics
Tableau
Big Data platforms
Workday Reporting


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Bachelor's Degree
Relevant Work Experience
10 Years +
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Data Modeler,Director Prism - Data Modeler,"Philadelphia, PA",3.9,$10+ billion (USD),-1,Telecommunications,10000+ Employees,Company - Public
JLG,1917,Transportation Equipment Manufacturing,"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
JOB SUMMARY:
The Data Scientist responsibilities include working through the entire data science lifecycle with an emphasis on applying their data mining and predictive modeling expertise. Critical thinking and problem-solving skills are essential, along with a deep curiosity and passion for research. The role will include mentoring other members of the Advanced Analytics & Insights team. This role will be responsible for preparing and delivering the results of their analysis. The ultimate goal of this role will be to help the company utilize data and analytics to generate business value.",Data Scientist,Data Scientist Principal,"Hagerstown, MD",4.1,$5 to $10 billion (USD),$95K - $152K (Glassdoor est.),Manufacturing,10000+ Employees,Company - Public
JLG,1917,Transportation Equipment Manufacturing,"About JLG, an Oshkosh company
JLG began in 1969, when our founder, John L. Grove set out to resolve growing safety concerns in the construction industry. Since then we have been committed to understanding the challenges and delivering innovative solutions to the access market. We partner with customers to provide quality equipment, training opportunities and trusted support within the access industry. We are a global company, and our products—including mobile elevating work platforms, telehandlers, utility vehicles and accessories—can be found all over the world.
SUMMARY
As a key member in Global Product Development's Data Science team, the Data Engineer will be responsible for expanding and optimizing our data pipeline architecture, as well as optimizing data flow and collection. The Data Engineer will support our software developers, database architects, data analysts and data scientists and will ensure optimal data delivery architecture is consistent throughout ongoing projects. The right candidate will be excited by the prospect of optimizing or even re-designing our company’s data architecture to support our next generation of products and data initiatives.",Data Engineer,Data Engineer,"Hagerstown, MD",4.1,$5 to $10 billion (USD),$53K - $101K (Glassdoor est.),Manufacturing,10000+ Employees,Company - Public
Freedom Financial Network,2002,Investment Banking & Asset Management,"WHO WE ARE:
Voted one of the Top 100 Fastest Growing Companies in the Bay Area for 2020, Freedom Financial Network is a family of companies that takes a people-first approach to financial services, using technology to empower consumers to overcome debt and create a brighter financial future. The company was founded in 2002 by Brad Stroh and Andrew Housser on the belief that by staying committed to helping people, you can ensure better financial outcomes for both the customer and the business. This Heart/$ philosophy still guides the vision of our growing company, which has helped millions of people find solutions for their financial needs.
What began with 2 people in a spare bedroom has now rapidly expanded to a vibrant business that employs over 2000 employees (known internally as The Freedom Family) in two locations: San Mateo, CA and Tempe, AZ. When you visit either of our offices, you’ll understand why our employees have voted us the Best Place to Work for the last several years. It’s a place where the Heart/$ philosophy continues to thrive, where we believe that success is only achieved by doing what’s right for our customers, our employees, and our communities.
Some of the key responsibilities for the Analytic Scientist will include:",Data Scientist,Staff Data Scientist,"San Mateo, CA",3.5,$500 million to $1 billion (USD),$90K - $146K (Glassdoor est.),Finance,1001 to 5000 Employees,Company - Private
SEI,1992,Consulting,"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.



Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
The ideal candidate will:
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:",Analytics Consultant,Data & Analytics Consultant,"Cincinnati, OH",4.6,$50 to $100 million (USD),$81K - $123K (Glassdoor est.),Business Services,201 to 500 Employees,Company - Private
"Assurance Scientific Laboratories, LLC",-1,-1,"At Assurance Scientific Laboratories (ASL) we are a passionate team of medical doctors and scientists who believe in using the best objective data available to help health care providers make accurate and timely diagnosis. Our mission is to provide healthcare providers with Assurance to treat their patients to the best of their availability. We specialize in molecular and toxicology assays and technology.
Note: All applicants are required to complete the Culture Index survey, along with submitting a resume, prior to being considered for this position. Please copy and paste the below link into your browser's address bar to view the survey and complete the application process.
https://www.cindexinc.com/c/4C3CCD
The Research Scientist will be tasked with the development and implementation of our clinical laboratory assays. The preferred candidate will have significant experience in developing real-time PCR and or sequencing experiments. This person will report directly to the Lab Director.",Research Scientist,Scientist,"Birmingham, AL",-1,-1,-1,-1,-1,-1
Faxon Firearms,-1,-1,"Description:
Faxon Firearms is seeking a Data Analyst to join their team. The ideal candidate will be a team-player with excellent communication skills in addition to the requirements listed below. As shown below, the primary focuses of this position will be in eCommerce, and company-wide data analysis.
About Faxon Firearms:
Faxon Firearms is a Cincinnati, Ohio based manufacturer of quality firearms, barrels, parts, and components. Since their brand launch in 2012, Faxon has seen tremendous growth as a company and is excited to add to their team. Faxon’s office and manufacturing facility is located in the West Chester suburb of Cincinnati.",Data Analyst,Data Analyst,"Cincinnati, OH",-1,Less than $1 million (USD),-1,-1,1 to 50 Employees,Unknown
Noom US,2008,"Health, Beauty, & Fitness","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.

We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.

What You'll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.",Data Scientist,Data Scientist,"New York, NY",4.3,Unknown / Non-Applicable,-1,Consumer Services,1001 to 5000 Employees,Company - Private
Fresenius Kabi,-1,Health Care Products Manufacturing,"Job Summary
This position reports to the supervisor for the functional area to which they are assigned and has no direct reports. The Associate Scientist position works closely with other departments, such as Operations, Validations, Product Development, Quality Systems, Product Release and Chemistry to assure the support of the Microbiology department on various projects, studies and routine tasks.

The individual holding the position of Associate Scientist shall be responsible for coordinating the timely completion of routine and project testing. This person will also be responsible for coordinating the timely completion of routine and special finished product testing and environmental issues. They will assist with the training of Production and Quality Control personnel in microbiological tests and methods. Must be available to work overtime as necessary.",Research Scientist,ASSOCIATE SCIENTIST,"Grand Island, NY",3.7,$5 to $10 billion (USD),$30K - $69K (Glassdoor est.),Manufacturing,10000+ Employees,Subsidiary or Business Segment
KPMG,1987,Consulting,"Historically, the travel requirement for this position has ranged from 80-100%. The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities, and guidance from a number of infectious disease experts. For now, all KPMG business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only. At some point in the future and with the safety of people as the critical factor, the travel requirement will likely increase, possibly to previous levels, but KPMG is committed to balancing client requirements with new delivery capabilities.
Innovate. Collaborate. Build. Create. Solve. The KPMG Digital Lighthouse is KPMG's award-winning Analytics & AI Center of Excellence recognized by clients and leading analyst firms in the US and globally. The KPMG Lighthouse is a curation of specialized technical capabilities and domain experts working across the digital landscape: applied data science, AI, data engineering and insights, software engineering, automation, and big data. Here, you'll work with a diverse team of professionals to explore and build solutions for clients in a multiplatform environment.",Data Scientist,"Associate, Data Scientist, Optimization","Chicago, IL",3.9,$1 to $2 billion (USD),$58K - $100K (Glassdoor est.),Business Services,10000+ Employees,Company - Private
Fresenius Kabi,-1,Health Care Products Manufacturing,"Job Summary
Responsible for performing routine testing of in-process and finished product samples. Monitors environmental conditions in the production and lab areas. Summarizes environmental monitoring and product test results. Provides project support to Scientist and Lead Scientist. Prepares media and reagents and equipment.
Responsibilities
PRINCIPAL ACTIVITIES PERFORMED BY THE INCUMBENT",Research Scientist,ASSOCIATE SCIENTIST (NIGHT SHIFT),"Melrose Park, IL",3.7,$5 to $10 billion (USD),$30K - $71K (Glassdoor est.),Manufacturing,10000+ Employees,Subsidiary or Business Segment
"Alteryx, Inc.",1997,Enterprise Software & Network Solutions,"We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
As a Data Engineer on the Alteryx Data Science team, you will be part of an innovative and groundbreaking team, being primarily responsible for engineering a world class enterprise data management platform and driving continuous improvement for a world class analytics company. You will work closely with data architects, other data engineers, data scientists, and line of business associates to build out new system features/functionality and help bring thoughtfully curated data system and products that the Alteryx organization can trust. Success in this role is critical to our commitment of becoming a world-class Data Science team and fostering Alteryx’s Data Science journey!",Data Engineer,Data Engineer,"Ann Arbor, MI",3.6,$100 to $500 million (USD),$53K - $102K (Glassdoor est.),Information Technology,1001 to 5000 Employees,Company - Public
Johns Hopkins Health System,1889,Health Care Services & Hospitals,"Sr. Data Scientist-Precision Medicine
Requisition #: 333944
Location: Johns Hopkins Health System, Baltimore, MD 21201
Category: Information Technology
Work Shift: Day Shift
Work Week: Full Time (40 or 36 hours)
Weekend Work Required: No
Date Posted: March 23, 2021
Sr Data Scientist - Precision Medicine
Requisition ID 333944
Work Location: This position will be remote and have the option to transition to Johns Hopkins locations around Baltimore, MD",Data Scientist,Sr. Data Scientist-Precision Medicine,"Baltimore, MD",3.8,$500 million to $1 billion (USD),$95K - $154K (Glassdoor est.),Health Care,1001 to 5000 Employees,Company - Private
"Sekisui XenoTech, LLC",-1,Biotech & Pharmaceuticals,"SEKISUI XenoTech, LLC is currently looking to add a Research Scientist or higher (based on experience and/or education) to the Analytical Services department. The Analytical Services department is a contract service and support department focused on providing analytical support for SEKISUI XenoTech’s products and services. This department also provides services in method validation, metabolite identification and Bioanalysis.
Essential duties and responsibilities include, but are not limited to the following:
Operates the LCMS systems with no supervision. Processes and reviews analytical data.
Ensures maintenance of laboratories and equipment. Troubleshoot problems with laboratory instruments and software.
Maintains appropriate logs, records and studies notebooks.
Participates in administrative and scientific meetings as requested.
Keeps accurate administrative records (e.g., purchase requisitions, timesheets, expense reports)",Research Scientist,Research Scientist or Above,"Kansas City, KS",3.2,$25 to $50 million (USD),$32K - $71K (Glassdoor est.),Biotech & Pharmaceuticals,51 to 200 Employees,Subsidiary or Business Segment
Catalent Pharma Solutions,2007,Biotech & Pharmaceuticals,"Position Overview:
Catalent hires people with a passion to make a difference to the health of millions of people globally. Your expertise, coupled with Catalent’s advanced technologies and collaboration with thousands of innovative pharmaceutical, biotech and healthcare companies, will help bring life-enhancing products to the people you know and love. Your talents , ideas and passion are essential to our mission; to develop, manufacture and supply products that help people live better, healthier lives. Interested in learning more about life at Catalent? Start here
Associate Analytical Scientist
The Associate Analytical Scientist reports to the Supervisor
The Associate Analytical Scientist is responsible for performing analytical method research and development for raw materials, in-process samples and drug products in the Quality Control Department. Associate Analytical Scientists work on method transfer, method verification and method validation under close guidance in support of clinical development and commercial manufacturing. The candidate will work closely with analytical R&D (NPIx) team to provide analytical results for drug product development and process validation. When necessary, the Associate Analytical Scientist will conduct routine analytical testing for raw materials, in-process samples, drug products and cleaning verification, QC investigational testing in support of commercial product manufacturing.",Data Analyst,Associate Analytical Scientist,"Winchester, KY",3.5,$2 to $5 billion (USD),$38K - $67K (Glassdoor est.),Biotech & Pharmaceuticals,10000+ Employees,Company - Public
